age
1;0~4;0~9;0~19;1~100
2;0~4;0~9;0~19;1~100
3;0~4;0~9;0~19;1~100
4;0~4;0~9;0~19;1~100
5;0~4;0~9;0~19;1~100
6;5~9;0~9;0~19;1~100
7;5~9;0~9;0~19;1~100
8;5~9;0~9;0~19;1~100
9;5~9;0~9;0~19;1~100
10;10~14;10~19;0~19;1~100
11;10~14;10~19;0~19;1~100
12;10~14;10~19;0~19;1~100
13;10~14;10~19;0~19;1~100
14;10~14;10~19;0~19;1~100
15;15~19;10~19;0~19;1~100
16;15~19;10~19;0~19;1~100
17;15~19;10~19;0~19;1~100
18;15~19;10~19;0~19;1~100
19;15~19;10~19;0~19;1~100
20;20~24;20~29;20~39;1~100
21;20~24;20~29;20~39;1~100
22;20~24;20~29;20~39;1~100
23;20~24;20~29;20~39;1~100
24;20~24;20~29;20~39;1~100
25;25~29;20~29;20~39;1~100
26;25~29;20~29;20~39;1~100
27;25~29;20~29;20~39;1~100
28;25~29;20~29;20~39;1~100
29;25~29;20~29;20~39;1~100
30;30~34;30~39;20~39;1~100
31;30~34;30~39;20~39;1~100
32;30~34;30~39;20~39;1~100
33;30~34;30~39;20~39;1~100
34;30~34;30~39;20~39;1~100
35;35~39;30~39;20~39;1~100
36;35~39;30~39;20~39;1~100
37;35~39;30~39;20~39;1~100
38;35~39;30~39;20~39;1~100
39;35~39;30~39;20~39;1~100
40;40~44;40~49;40~59;1~100
41;40~44;40~49;40~59;1~100
42;40~44;40~49;40~59;1~100
43;40~44;40~49;40~59;1~100
44;40~44;40~49;40~59;1~100
45;45~49;40~49;40~59;1~100
46;45~49;40~49;40~59;1~100
47;45~49;40~49;40~59;1~100
48;45~49;40~49;40~59;1~100
49;45~49;40~49;40~59;1~100
50;50~54;50~59;40~59;1~100
51;50~54;50~59;40~59;1~100
52;50~54;50~59;40~59;1~100
53;50~54;50~59;40~59;1~100
54;50~54;50~59;40~59;1~100
55;55~59;50~59;40~59;1~100
56;55~59;50~59;40~59;1~100
57;55~59;50~59;40~59;1~100
58;55~59;50~59;40~59;1~100
59;55~59;50~59;40~59;1~100
60;60~64;60~69;60~79;1~100
61;60~64;60~69;60~79;1~100
62;60~64;60~69;60~79;1~100
63;60~64;60~69;60~79;1~100
64;60~64;60~69;60~79;1~100
65;65~69;60~69;60~79;1~100
66;65~69;60~69;60~79;1~100
67;65~69;60~69;60~79;1~100
68;65~69;60~69;60~79;1~100
69;65~69;60~69;60~79;1~100
70;70~74;70~79;60~79;1~100
71;70~74;70~79;60~79;1~100
72;70~74;70~79;60~79;1~100
73;70~74;70~79;60~79;1~100
74;70~74;70~79;60~79;1~100
75;75~79;70~79;60~79;1~100
76;75~79;70~79;60~79;1~100
77;75~79;70~79;60~79;1~100
78;75~79;70~79;60~79;1~100
79;75~79;70~79;60~79;1~100
80;80~84;80~89;80~99;1~100
81;80~84;80~89;80~99;1~100
82;80~84;80~89;80~99;1~100
83;80~84;80~89;80~99;1~100
84;80~84;80~89;80~99;1~100
85;85~89;80~89;80~99;1~100
86;85~89;80~89;80~99;1~100
87;85~89;80~89;80~99;1~100
88;85~89;80~89;80~99;1~100
89;85~89;80~89;80~99;1~100
90;90~94;90~99;80~99;1~100
91;90~94;90~99;80~99;1~100
92;90~94;90~99;80~99;1~100
93;90~94;90~99;80~99;1~100
94;90~94;90~99;80~99;1~100
95;95~100;90~100;80~100;1~100
96;95~100;90~100;80~100;1~100
97;95~100;90~100;80~100;1~100
98;95~100;90~100;80~100;1~100
99;95~100;90~100;80~100;1~100
100;95~100;90~100;80~100;1~100
