campaign
1;1~10;1~56
2;1~10;1~56
3;1~10;1~56
4;1~10;1~56
5;1~10;1~56
6;1~10;1~56
7;1~10;1~56
8;1~10;1~56
9;1~10;1~56
10;1~10;1~56
11;11~20;1~56
12;11~20;1~56
13;11~20;1~56
14;11~20;1~56
15;11~20;1~56
16;11~20;1~56
17;11~20;1~56
18;11~20;1~56
19;11~20;1~56
20;11~20;1~56
21;21~56;1~56
22;21~56;1~56
23;21~56;1~56
24;21~56;1~56
25;21~56;1~56
26;21~56;1~56
27;21~56;1~56
28;21~56;1~56
29;21~56;1~56
30;21~56;1~56
31;21~56;1~56
32;21~56;1~56
33;21~56;1~56
34;21~56;1~56
35;21~56;1~56
37;21~56;1~56
39;21~56;1~56
40;21~56;1~56
41;21~56;1~56
42;21~56;1~56
43;21~56;1~56
56;21~56;1~56
