Age;Job;Marital;Education;Default;Housing;Loan;Contact;Month;Day_of_week;Campaign;Pdays;Previous;Poutcome;Y
90~99;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;no
90~99;retired;married;*;no;*;yes;cellular;sep;*;1;999;2;failure;no
90~99;retired;married;*;no;*;yes;cellular;sep;*;2;999;0;nonexistent;no
90~99;retired;married;*;unknown;*;no;cellular;oct;*;1;2;2;success;yes
90~99;retired;married;*;unknown;*;no;cellular;oct;*;2;999;0;nonexistent;yes
90~99;retired;married;*;no;*;no;cellular;nov;*;1;999;1;failure;no
90~99;retired;married;*;no;*;no;cellular;may;*;1;6;2;success;no
90~99;retired;divorced;*;unknown;*;no;cellular;may;*;3;999;1;failure;yes
90~99;retired;married;*;no;*;yes;cellular;aug;*;1;3;1;success;yes
90~99;retired;married;*;no;*;yes;cellular;aug;*;1;3;4;success;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;mar;*;2;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;yes;cellular;mar;*;5;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;6;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;mar;*;7;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;yes;cellular;mar;*;3;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;yes;cellular;mar;*;2;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;mar;*;3;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;2;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;mar;*;1;999;0;nonexistent;yes
85~89;retired;divorced;*;no;*;no;cellular;may;*;2;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;may;*;4;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;aug;*;2;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
85~89;retired;married;*;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;unknown;cellular;oct;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;oct;*;2;6;1;success;yes
85~89;retired;divorced;*;no;*;no;cellular;nov;*;1;999;1;failure;no
85~89;retired;married;*;no;*;no;telephone;dec;*;2;999;0;nonexistent;yes
85~89;retired;married;*;unknown;*;no;cellular;mar;*;2;999;2;failure;no
85~89;retired;divorced;*;no;*;no;cellular;jun;*;1;999;0;nonexistent;yes
85~89;retired;single;*;unknown;*;no;telephone;jun;*;1;999;0;nonexistent;yes
85~89;retired;married;*;no;*;no;cellular;sep;*;2;999;0;nonexistent;no
85~89;retired;married;*;no;*;no;cellular;sep;*;7;999;0;nonexistent;no
85~89;retired;married;*;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
85~89;retired;divorced;*;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
85~89;retired;married;*;no;*;no;cellular;sep;*;3;999;0;nonexistent;yes
85~89;retired;married;*;unknown;*;yes;cellular;sep;*;1;7;4;success;yes
85~89;retired;married;*;unknown;*;no;cellular;sep;*;1;999;0;nonexistent;yes
80~84;retired;married;secondary-education;no;*;no;cellular;aug;*;3;999;0;nonexistent;no
80~84;retired;married;secondary-education;no;*;no;cellular;dec;*;1;4;3;success;yes
80~84;retired;married;secondary-education;no;*;no;cellular;dec;*;1;999;0;nonexistent;no
80~84;retired;married;secondary-education;no;*;no;cellular;dec;*;1;999;0;nonexistent;yes
80~84;retired;married;secondary-education;unknown;*;no;cellular;may;*;3;999;0;nonexistent;no
80~84;retired;divorced;secondary-education;no;*;no;cellular;jun;*;1;999;4;failure;no
80~84;retired;married;primary-education;unknown;*;no;cellular;apr;*;3;999;0;nonexistent;yes
80~84;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
80~84;retired;married;primary-education;no;*;no;cellular;apr;*;2;999;0;nonexistent;no
80~84;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
80~84;retired;married;primary-education;no;*;no;cellular;apr;*;3;999;0;nonexistent;no
80~84;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
80~84;retired;married;primary-education;no;*;no;cellular;may;*;2;999;1;failure;no
80~84;retired;married;primary-education;no;*;no;cellular;may;*;2;999;0;nonexistent;yes
80~84;retired;married;primary-education;no;*;yes;cellular;may;*;1;3;3;failure;no
80~84;retired;married;primary-education;no;*;no;cellular;aug;*;2;4;1;success;no
80~84;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
80~84;retired;married;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
80~84;housemaid;divorced;primary-education;unknown;*;no;telephone;oct;*;2;999;0;nonexistent;no
80~84;housemaid;married;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
80~84;retired;single;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;yes
80~84;retired;single;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
80~84;retired;divorced;primary-education;no;*;no;cellular;nov;*;2;3;1;success;yes
80~84;retired;divorced;primary-education;no;*;no;cellular;nov;*;1;3;3;success;yes
80~84;retired;divorced;primary-education;no;*;yes;cellular;nov;*;1;999;0;nonexistent;no
80~84;housemaid;divorced;primary-education;no;*;no;cellular;nov;*;6;999;0;nonexistent;no
80~84;retired;divorced;primary-education;no;*;no;cellular;dec;*;3;999;0;nonexistent;yes
80~84;retired;divorced;primary-education;unknown;*;no;cellular;dec;*;3;6;1;success;yes
80~84;retired;divorced;primary-education;unknown;*;no;telephone;dec;*;1;999;0;nonexistent;no
80~84;retired;divorced;primary-education;no;*;no;cellular;apr;*;2;999;2;failure;no
