id,age,zip_code,education
1,26,40091,University Graduate
2,84,60731,Preschool
3,52,34069,Preschool
4,18,46600,Doctorate
5,97,44253,12th
6,85,58671,University Graduate
7,23,67145,11th
8,63,61618,9th
9,49,42445,University Graduate
10,36,39563,12th
11,44,30053,1st-4th
12,27,42520,12th
13,52,40034,5th-6th
14,56,67538,
15,99,67779,9th
16,53,55244,12th
17,7,61465,
18,96,45012,Doctorate
19,8,65295,Masters
20,69,38844,Masters
21,57,44609,
22,5,43614,9th
23,68,51349,
24,67,52090,9th
25,6,57717,7th-8th
26,54,43101,11th
27,58,54567,Preschool
28,56,41574,11th
29,95,46259,11th
30,98,47843,9th
31,49,69926,1st-4th
32,19,60488,
33,79,48769,9th
34,39,47843,Doctorate
35,40,35303,9th
36,34,47273,7th-8th
37,53,51478,9th
38,79,58554,University Graduate
39,99,55336,Preschool
40,28,37931,9th
41,80,68118,1st-4th
42,9,61105,1st-4th
43,24,34574,University Graduate
44,30,34441,Masters
45,86,63999,
46,60,54417,Preschool
47,39,63766,11th
48,82,59131,University Graduate
49,23,56660,7th-8th
50,29,43936,Masters
51,84,69263,University Graduate
52,43,54794,Masters
53,44,55543,1st-4th
54,40,43221,Preschool
55,97,62141,
56,61,37702,University Graduate
57,72,30484,11th
58,23,63764,Masters
59,84,38882,University Graduate
60,67,32704,7th-8th
61,99,30581,Preschool
62,30,42494,10th
63,40,44520,10th
64,94,35305,Doctorate
65,22,43939,
66,58,68893,Doctorate
67,84,65756,Preschool
68,34,41406,10th
69,71,51846,University Graduate
70,36,34177,10th
71,74,58923,University Graduate
72,33,33269,11th
73,96,47031,12th
74,6,55733,11th
75,62,52553,
76,78,41501,Preschool
77,2,42913,7th-8th
78,13,42019,5th-6th
79,13,55070,12th
80,36,67090,9th
81,36,62250,10th
82,83,31291,10th
83,17,37391,Doctorate
84,42,50552,University Graduate
85,69,64586,7th-8th
86,43,47809,10th
87,99,43432,10th
88,72,68553,Masters
89,18,56243,9th
90,67,34192,Masters
91,50,37187,9th
92,79,64722,7th-8th
93,52,42978,5th-6th
94,30,41309,
95,90,36453,12th
96,18,67110,7th-8th
97,6,35866,University Graduate
98,32,41295,5th-6th
99,27,47790,Doctorate
100,81,58850,Doctorate
101,40,34833,9th
102,67,66317,Doctorate
103,66,40144,1st-4th
104,32,68303,5th-6th
105,82,48098,9th
106,15,33663,Preschool
107,24,42414,10th
108,1,59383,University Graduate
109,6,44422,5th-6th
110,66,33236,7th-8th
