id,age,zip_code,education
1,37,48472,1st-4th
2,66,56436,
3,90,48664,12th
4,38,40356,
5,61,60625,12th
6,69,35047,University Graduate
7,25,49954,7th-8th
8,27,56409,University Graduate
9,16,63141,Doctorate
10,49,43782,1st-4th
11,71,49680,9th
12,21,61380,5th-6th
13,51,58065,1st-4th
14,61,63463,11th
15,38,47048,7th-8th
16,14,50876,9th
17,12,45630,7th-8th
18,81,67743,University Graduate
19,97,41960,Preschool
20,83,48568,11th
21,49,61917,
22,40,51555,10th
23,9,69498,11th
24,11,51679,Doctorate
25,5,58544,5th-6th
26,44,60024,5th-6th
27,68,64316,7th-8th
28,71,47659,
29,38,37532,9th
30,25,32526,University Graduate
31,9,55043,Preschool
32,53,69962,9th
33,72,67576,9th
34,5,63820,Doctorate
35,43,52216,Doctorate
36,39,50029,10th
37,78,44780,1st-4th
38,81,61373,11th
39,55,65458,11th
40,89,36949,9th
41,34,63188,Masters
42,95,57340,1st-4th
43,87,44660,Doctorate
44,63,52485,11th
45,43,34259,Preschool
46,57,68736,Doctorate
47,8,56539,Doctorate
48,46,30919,11th
49,60,63779,11th
50,35,62448,
51,78,66609,Masters
52,97,44756,5th-6th
53,34,57910,Preschool
54,52,41189,7th-8th
55,52,41401,7th-8th
56,76,52771,5th-6th
57,6,59126,University Graduate
58,70,63950,University Graduate
59,50,56847,1st-4th
60,30,59765,5th-6th
61,96,54497,12th
62,43,63860,11th
63,99,66858,10th
64,39,65761,Masters
65,25,39197,1st-4th
66,22,38430,1st-4th
67,66,56116,Doctorate
68,71,43222,7th-8th
69,70,41780,10th
70,11,45997,Doctorate
71,96,51941,Preschool
72,76,56413,7th-8th
73,27,45631,Doctorate
74,83,43805,Preschool
75,59,47233,10th
76,14,59516,5th-6th
77,46,48717,
78,67,64576,Preschool
79,45,61186,10th
80,78,55600,1st-4th
81,97,36408,
82,35,63222,Preschool
83,49,34096,University Graduate
84,30,44921,11th
85,60,56404,University Graduate
86,27,52309,University Graduate
87,18,34981,5th-6th
88,69,40703,12th
89,83,30299,10th
90,18,59932,5th-6th
91,79,54994,
92,50,42233,Doctorate
93,74,51904,7th-8th
94,80,31622,
95,75,44238,University Graduate
96,14,58135,Preschool
97,63,52438,Masters
98,74,63337,5th-6th
99,37,32026,7th-8th
100,75,50244,
101,72,65110,Preschool
102,22,63515,University Graduate
103,34,69047,10th
104,65,45099,
105,86,66414,1st-4th
106,29,62730,5th-6th
107,51,54812,5th-6th
108,41,55431,11th
109,67,56977,Masters
110,12,54034,1st-4th
111,77,39787,10th
112,55,38896,Preschool
113,4,64382,University Graduate
114,62,35082,7th-8th
115,67,61294,Doctorate
116,31,62446,1st-4th
117,87,55437,12th
118,74,49873,12th
119,5,53378,5th-6th
120,74,39129,Masters
121,30,45214,11th
122,46,53094,12th
123,48,33062,5th-6th
124,42,56306,Doctorate
125,48,57878,1st-4th
126,38,38148,Preschool
127,86,64551,9th
128,14,47640,12th
129,73,38223,9th
130,70,44382,
131,45,48889,1st-4th
132,42,45115,Doctorate
133,21,57693,University Graduate
134,59,42896,
135,84,50716,Masters
136,86,38147,9th
137,89,32292,Masters
138,37,37925,7th-8th
139,29,34548,9th
140,85,45507,Doctorate
141,12,35261,7th-8th
142,97,64502,11th
143,13,55201,11th
144,44,65548,University Graduate
145,7,54587,Masters
146,76,31535,9th
147,57,42919,Masters
148,14,31479,5th-6th
149,20,52532,10th
150,85,33456,5th-6th
151,88,68858,Masters
152,23,68754,5th-6th
153,98,45335,5th-6th
154,81,35158,1st-4th
155,16,37167,
156,51,69343,Masters
157,37,39521,9th
158,25,66108,5th-6th
159,87,60578,12th
160,40,31779,9th
161,10,46212,5th-6th
162,71,58868,5th-6th
163,3,57733,11th
164,12,31374,7th-8th
165,6,32742,Masters
166,24,50594,Masters
167,28,66681,Preschool
168,58,60024,5th-6th
169,32,32815,9th
170,53,65941,Doctorate
171,68,64240,University Graduate
172,26,57260,10th
173,80,45896,11th
174,42,57674,11th
175,25,55573,7th-8th
176,9,62226,
177,70,63919,Preschool
178,54,33762,10th
179,55,39334,Masters
180,98,63950,1st-4th
181,88,57367,1st-4th
182,3,36410,11th
183,7,37153,10th
184,40,46571,12th
185,84,67924,7th-8th
186,11,37135,9th
187,7,34212,7th-8th
188,21,50591,5th-6th
189,71,53669,University Graduate
190,89,48654,5th-6th
191,22,35836,Preschool
192,97,33146,
193,57,39666,1st-4th
194,47,58208,Doctorate
195,51,40073,Doctorate
196,41,54236,
197,42,41345,1st-4th
198,55,61054,1st-4th
199,48,57949,10th
200,86,50565,University Graduate
201,34,49138,5th-6th
202,21,49191,
203,9,66527,Doctorate
204,98,46829,University Graduate
205,83,52068,1st-4th
206,30,51868,12th
207,18,35600,University Graduate
208,96,65820,Preschool
209,73,44470,University Graduate
210,82,34630,11th
211,63,54272,Doctorate
212,17,51657,9th
213,9,46602,University Graduate
214,90,32579,7th-8th
215,26,54358,5th-6th
216,98,45193,1st-4th
217,61,38133,11th
218,43,63642,10th
219,99,54655,9th
220,73,32807,
221,94,54569,Masters
222,98,62512,
223,46,46321,5th-6th
224,52,42705,
225,47,68934,Doctorate
226,55,34330,10th
227,46,37285,University Graduate
228,58,66880,11th
229,50,62051,1st-4th
230,4,42566,11th
231,64,32496,Doctorate
232,29,68652,12th
233,51,39464,5th-6th
234,23,41263,9th
235,65,47826,10th
236,53,40610,1st-4th
237,75,43244,University Graduate
238,17,61936,Masters
239,18,68557,Masters
240,35,58988,11th
241,15,65562,Preschool
242,88,41137,11th
243,21,35353,Preschool
244,23,62009,Preschool
245,71,34539,5th-6th
246,89,61084,11th
247,87,66746,Masters
248,81,54877,Preschool
249,46,54757,Masters
250,31,37244,10th
251,71,50116,1st-4th
252,72,35207,10th
253,22,33097,1st-4th
254,51,63727,
255,36,66923,University Graduate
256,67,39792,Doctorate
257,36,49512,10th
258,96,38519,12th
259,27,67422,University Graduate
260,47,45387,1st-4th
261,98,56471,1st-4th
262,41,61565,1st-4th
263,73,66411,9th
264,29,64483,Preschool
265,37,55747,Masters
266,40,67441,10th
267,60,60232,5th-6th
268,42,48404,1st-4th
269,98,47583,10th
270,85,59743,Masters
271,25,40052,University Graduate
272,85,56155,1st-4th
273,6,69585,10th
274,30,69170,Masters
275,22,42663,12th
276,13,38879,Doctorate
277,77,60847,11th
278,56,42243,Preschool
279,87,51460,5th-6th
280,44,30188,7th-8th
281,44,67319,7th-8th
282,75,52990,Masters
283,87,58724,11th
284,59,53076,Preschool
285,21,46336,12th
286,45,49983,10th
287,51,38229,10th
288,73,44730,9th
289,64,54713,Doctorate
290,18,35711,Doctorate
291,2,64123,10th
292,58,56359,12th
293,28,59779,Preschool
294,48,39367,9th
295,16,60260,Doctorate
296,83,40220,7th-8th
297,19,40386,5th-6th
298,94,45349,12th
299,37,37331,9th
300,62,68922,University Graduate
