age
1;0~4;0~9;0~19;1~90
2;0~4;0~9;0~19;1~90
3;0~4;0~9;0~19;1~90
4;0~4;0~9;0~19;1~90
5;0~4;0~9;0~19;1~90
6;5~9;0~9;0~19;1~90
7;5~9;0~9;0~19;1~90
8;5~9;0~9;0~19;1~90
9;5~9;0~9;0~19;1~90
10;10~14;10~19;0~19;1~90
11;10~14;10~19;0~19;1~90
12;10~14;10~19;0~19;1~90
13;10~14;10~19;0~19;1~90
14;10~14;10~19;0~19;1~90
15;15~19;10~19;0~19;1~90
16;15~19;10~19;0~19;1~90
17;15~19;10~19;0~19;1~90
18;15~19;10~19;0~19;1~90
19;15~19;10~19;0~19;1~90
20;20~24;20~29;20~39;1~90
21;20~24;20~29;20~39;1~90
22;20~24;20~29;20~39;1~90
23;20~24;20~29;20~39;1~90
24;20~24;20~29;20~39;1~90
25;25~29;20~29;20~39;1~90
26;25~29;20~29;20~39;1~90
27;25~29;20~29;20~39;1~90
28;25~29;20~29;20~39;1~90
29;25~29;20~29;20~39;1~90
30;30~34;30~39;20~39;1~90
31;30~34;30~39;20~39;1~90
32;30~34;30~39;20~39;1~90
33;30~34;30~39;20~39;1~90
34;30~34;30~39;20~39;1~90
35;35~39;30~39;20~39;1~90
36;35~39;30~39;20~39;1~90
37;35~39;30~39;20~39;1~90
38;35~39;30~39;20~39;1~90
39;35~39;30~39;20~39;1~90
40;40~44;40~49;40~59;1~90
41;40~44;40~49;40~59;1~90
42;40~44;40~49;40~59;1~90
43;40~44;40~49;40~59;1~90
44;40~44;40~49;40~59;1~90
45;45~49;40~49;40~59;1~90
46;45~49;40~49;40~59;1~90
47;45~49;40~49;40~59;1~90
48;45~49;40~49;40~59;1~90
49;45~49;40~49;40~59;1~90
50;50~54;50~59;40~59;1~90
51;50~54;50~59;40~59;1~90
52;50~54;50~59;40~59;1~90
53;50~54;50~59;40~59;1~90
54;50~54;50~59;40~59;1~90
55;55~59;50~59;40~59;1~90
56;55~59;50~59;40~59;1~90
57;55~59;50~59;40~59;1~90
58;55~59;50~59;40~59;1~90
59;55~59;50~59;40~59;1~90
60;60~64;60~69;60~79;1~90
61;60~64;60~69;60~79;1~90
62;60~64;60~69;60~79;1~90
63;60~64;60~69;60~79;1~90
64;60~64;60~69;60~79;1~90
65;65~69;60~69;60~79;1~90
66;65~69;60~69;60~79;1~90
67;65~69;60~69;60~79;1~90
68;65~69;60~69;60~79;1~90
69;65~69;60~69;60~79;1~90
70;70~74;70~79;60~79;1~90
71;70~74;70~79;60~79;1~90
72;70~74;70~79;60~79;1~90
73;70~74;70~79;60~79;1~90
74;70~74;70~79;60~79;1~90
75;75~79;70~79;60~79;1~90
76;75~79;70~79;60~79;1~90
77;75~79;70~79;60~79;1~90
78;75~79;70~79;60~79;1~90
79;75~79;70~79;60~79;1~90
80;80~84;80~90;60~90;1~90
81;80~84;80~90;60~90;1~90
82;80~84;80~90;60~90;1~90
83;80~84;80~90;60~90;1~90
84;80~84;80~90;60~90;1~90
85;85~90;80~90;60~90;1~90
86;85~90;80~90;60~90;1~90
87;85~90;80~90;60~90;1~90
88;85~90;80~90;60~90;1~90
89;85~90;80~90;60~90;1~90
90;85~90;80~90;60~90;1~90
