weight;ph;avg;watercapacity;bacteria;solubleprotein
132;3;903;471;533;527
593;366;153;484;535;665
684;728;81;729;349;416
911;438;403;299;597;516
657;97;475;208;137;877
419;8;966;637;189;275
716;432;660;543;954;256
917;454;132;200;509;120
943;38;680;21;461;798
498;340;391;309;37;547
146;723;447;405;883;244
924;67;10;143;21;700
336;926;422;191;432;487
918;247;143;182;763;370
742;133;739;44;550;972
412;781;963;837;956;718
547;150;758;551;140;942
143;842;921;537;8;297
187;954;880;907;872;586
836;339;298;893;563;203
874;765;722;654;96;488
757;303;582;828;414;366
961;397;900;329;953;651
479;627;477;605;266;40
545;659;252;220;378;912
587;109;486;538;560;844
843;56;783;658;962;364
385;703;578;542;159;187
133;136;256;169;812;2
671;93;801;786;50;348
126;647;598;123;486;806
455;530;81;598;662;881
232;547;560;575;133;204
431;337;314;218;849;5
836;250;614;33;141;746
3;319;396;630;982;614
480;207;374;685;85;308
602;531;757;58;174;625
182;28;183;915;497;914
431;524;485;481;573;754
58;885;251;913;438;672
479;379;700;233;949;261
439;798;221;112;982;181
169;583;284;95;428;181
151;849;256;171;193;874
537;120;16;492;661;209
695;28;183;810;291;450
483;894;752;222;259;766
913;460;519;909;967;89
686;319;642;208;657;551
464;930;181;296;97;436
94;364;12;530;701;157
224;83;811;254;123;89
159;21;466;488;423;320
890;589;128;918;12;818
988;522;12;648;217;369
877;165;238;304;794;738
61;328;515;304;105;429
119;91;315;213;984;937
312;821;611;197;446;650
755;799;582;430;544;481
979;963;633;413;885;264
202;143;287;756;204;715
56;785;631;751;591;104
367;289;284;471;11;905
444;498;148;132;378;39
317;471;624;597;804;330
366;27;607;945;432;806
939;446;196;773;116;371
841;490;989;463;592;101
190;35;898;4;56;919
946;709;99;87;827;640
269;974;319;487;995;904
836;469;956;99;100;654
701;500;984;335;432;961
711;794;665;918;959;11
713;994;414;192;578;738
57;169;955;306;471;879
267;836;854;409;353;320
736;787;548;553;649;317
5;97;793;679;235;942
203;916;986;301;608;698
702;721;213;441;269;954
571;390;591;59;372;550
735;888;275;336;278;891
755;10;163;801;10;67
756;677;503;420;790;879
744;47;4;392;258;234
142;369;695;984;976;365
940;416;184;528;545;866
718;447;844;498;29;277
275;791;737;963;823;922
575;975;339;123;95;671
108;813;433;46;86;963
603;81;666;914;285;716
350;119;272;250;727;581
426;550;376;413;189;696
636;659;46;575;826;571
278;629;3;701;484;772
841;871;771;83;327;64
91;152;554;14;8;255
997;459;549;620;700;68
462;365;418;823;846;454
628;505;993;116;994;79
792;83;649;727;130;100
835;739;751;239;22;704
204;425;153;493;718;787
853;14;151;195;159;87
432;397;237;364;67;814
155;887;976;874;828;765
490;147;287;865;524;312
167;978;589;749;93;958
792;726;694;619;14;149
489;857;288;965;254;977
372;388;340;995;596;760
646;276;600;495;491;500
490;794;228;697;333;803
428;755;486;938;280;961
226;93;129;890;154;159
215;632;663;344;240;477
957;524;496;779;31;153
874;834;170;366;87;661
94;864;37;492;461;557
715;945;16;648;509;385
446;794;256;178;671;490
308;955;804;480;965;668
863;216;357;449;233;626
674;18;315;32;549;491
696;233;879;385;206;265
178;13;115;518;551;887
393;899;194;431;132;417
624;941;295;859;237;335
766;902;828;293;141;638
427;578;722;975;667;972
385;109;453;699;78;273
375;719;840;413;744;670
578;151;909;782;18;576
349;844;490;192;45;316
