weight;ph;avg;watercapacity;bacteria;solubleprotein
889;841;581;202;794;484
299;234;93;739;558;188
782;457;52;663;721;929
937;197;852;468;628;637
496;775;179;111;799;684
304;840;582;817;704;651
88;688;166;648;518;503
610;122;394;459;81;354
483;576;205;359;35;860
824;524;36;498;235;156
361;534;91;774;143;609
694;987;290;557;236;903
233;812;247;365;986;746
510;788;61;68;578;704
219;266;850;71;712;683
229;358;793;497;421;665
842;289;311;201;743;181
277;586;176;384;962;993
686;483;861;590;158;338
716;724;745;635;718;201
272;590;87;773;566;589
150;194;403;352;203;319
6;805;306;547;998;963
658;840;542;715;837;384
111;759;730;310;209;856
345;341;221;77;467;903
182;523;327;338;568;131
934;247;259;906;816;296
231;281;946;875;797;818
294;153;337;767;798;949
297;664;238;796;893;380
384;628;477;855;477;746
277;389;423;495;433;606
195;895;654;847;304;617
108;257;928;525;147;68
982;48;847;709;407;695
991;515;765;863;590;949
352;861;796;452;367;874
58;204;870;19;28;179
397;579;960;667;281;726
95;345;750;51;259;994
106;181;616;356;302;487
643;706;941;906;349;495
684;937;582;706;529;282
787;316;293;170;42;511
140;488;117;214;16;734
533;36;701;771;196;972
789;625;23;277;636;424
785;742;321;742;111;251
293;826;426;595;320;896
438;496;805;25;941;426
661;48;896;254;952;329
912;605;5;252;255;69
126;274;466;478;362;630
350;942;405;783;67;42
935;522;387;806;757;718
122;839;999;54;25;796
181;113;547;738;630;841
134;518;582;273;654;466
865;726;766;62;728;392
607;250;937;766;95;6
767;578;54;865;545;735
887;862;981;393;950;532
247;454;332;288;916;765
982;502;829;276;707;357
315;274;223;128;104;841
934;596;698;867;59;603
342;71;884;814;368;51
471;849;109;754;907;218
395;633;679;241;913;324
679;902;21;942;318;530
743;547;945;308;172;536
11;319;315;776;572;137
431;871;384;107;74;372
422;846;824;508;847;471
738;805;709;525;101;685
469;77;641;105;876;5
131;638;295;671;840;78
798;296;157;276;676;125
99;88;43;593;534;867
60;333;919;597;544;486
314;820;828;63;762;993
944;644;109;185;181;306
861;57;617;86;168;442
672;324;198;180;70;25
602;185;324;43;835;203
969;807;108;263;926;618
834;812;507;259;952;254
164;828;135;444;62;34
305;116;865;132;760;614
189;495;344;998;595;826
474;503;605;555;462;616
155;382;323;721;534;368
511;643;824;986;603;464
477;843;224;823;350;361
339;468;137;818;547;227
691;221;113;366;157;553
480;775;655;785;551;536
839;409;373;54;993;646
465;973;236;987;996;474
192;351;709;216;83;168
906;736;882;37;977;1
647;889;278;503;974;886
929;323;132;105;480;309
360;330;109;297;342;876
783;682;666;5;718;869
513;435;551;113;59;902
37;740;628;59;619;276
525;536;919;121;214;605
868;593;921;308;879;980
640;458;677;695;505;64
260;765;287;988;442;774
766;903;131;640;324;923
317;993;746;825;846;676
150;549;228;828;644;239
428;291;190;909;153;787
880;663;601;400;565;641
534;598;240;281;691;24
184;987;606;55;218;51
600;620;589;704;214;904
460;760;426;453;535;460
123;292;180;617;58;405
563;735;656;520;520;799
790;592;105;8;614;506
234;619;446;746;696;249
965;803;251;266;428;522
185;393;842;622;43;567
993;298;85;292;238;386
74;537;158;938;891;546
158;493;161;803;562;164
635;158;54;454;831;477
540;530;603;592;295;721
607;978;606;359;921;128
138;648;177;314;167;5
84;533;721;276;397;378
450;492;993;197;929;306
91;773;648;137;511;176
242;732;42;647;472;749
47;530;402;887;371;192
866;930;114;364;789;839
302;72;806;94;735;916
999;363;329;806;948;556
861;910;851;80;648;784
803;455;757;467;606;874
663;30;148;825;878;746
615;924;647;527;384;776
619;177;214;514;637;718
821;407;510;516;170;761
265;202;628;361;875;845
518;106;21;61;128;655
775;680;617;640;643;382
709;743;528;904;652;526
944;43;134;264;517;21
134;338;27;56;979;758
162;455;766;89;972;417
305;515;841;578;911;140
567;686;271;230;141;99
729;352;65;519;472;983
729;987;387;823;455;409
429;616;195;934;678;911
82;17;74;688;475;74
264;59;194;567;486;463
393;294;143;852;97;677
593;179;82;246;985;587
137;988;954;747;286;361
102;400;584;660;82;687
523;872;603;902;631;741
73;106;289;306;298;635
953;579;989;349;506;380
474;515;61;101;727;760
387;974;139;21;119;147
375;802;448;333;449;390
456;241;970;254;41;958
180;671;842;132;113;657
65;411;705;662;743;335
238;687;599;470;123;874
378;170;180;928;489;280
343;598;966;303;756;560
728;145;424;417;5;59
974;483;147;85;377;975
783;503;688;343;807;364
450;479;605;965;997;57
454;728;387;774;146;128
141;278;713;640;532;912
342;672;956;676;746;69
418;954;489;168;85;266
603;982;663;490;297;455
43;422;736;319;270;452
718;366;759;537;726;122
961;363;222;469;702;107
211;497;115;703;885;257
13;694;273;869;667;878
249;422;844;282;4;739
480;31;960;848;84;945
64;378;194;522;856;406
145;117;107;899;55;297
982;752;426;826;540;323
124;36;212;128;371;600
281;918;397;45;201;951
983;959;488;505;68;753
159;417;50;844;750;505
82;902;404;542;28;945
395;997;931;636;960;146
631;439;636;42;352;282
483;320;378;345;475;969
307;663;785;849;963;611
223;452;799;79;947;570
142;922;549;18;911;794
325;75;324;573;783;491
759;911;815;612;593;102
678;461;208;321;832;749
612;981;602;445;825;138
756;620;97;760;999;215
632;558;240;122;747;898
181;426;872;460;320;528
890;235;542;991;210;555
763;32;948;797;342;956
499;244;399;628;106;823
690;730;974;516;453;973
422;336;595;148;999;89
582;238;505;218;328;865
130;217;83;443;634;724
305;281;828;845;486;543
40;490;126;664;125;438
859;59;255;915;411;427
169;685;893;776;89;329
669;396;557;291;679;965
519;636;658;118;939;761
371;718;205;689;758;996
139;269;301;710;856;75
795;83;437;335;168;215
411;13;867;148;228;436
486;888;276;233;948;19
269;643;344;432;149;867
272;54;609;768;342;334
720;17;102;789;659;642
36;926;67;321;546;796
645;632;894;800;480;856
456;118;611;700;536;226
225;425;852;611;235;991
481;746;234;454;242;996
539;99;218;972;502;593
622;766;400;272;742;299
862;654;783;308;626;944
317;817;242;455;934;160
994;380;392;275;715;584
72;480;49;391;788;116
374;311;294;883;603;244
644;502;91;833;881;676
345;623;369;170;354;478
619;780;284;213;436;258
103;243;724;956;875;689
695;299;781;825;693;169
99;907;180;431;480;145
478;5;198;631;583;259
487;680;628;70;453;682
980;47;178;54;91;300
809;338;170;268;457;999
467;54;60;633;147;641
245;693;369;364;910;506
766;720;940;87;50;692
