weight;ph;avg;watercapacity;bacteria;solubleprotein
369;881;196;926;371;181
114;679;340;382;672;365
831;16;922;114;682;353
325;824;37;434;173;108
530;901;505;872;739;447
355;38;850;797;531;187
287;106;760;338;113;714
272;733;545;568;178;526
607;695;396;286;849;539
729;425;25;713;45;82
187;483;642;126;905;224
188;352;752;12;563;156
278;39;111;283;589;760
29;485;27;174;733;59
714;590;318;936;488;682
859;171;610;366;385;127
65;225;611;170;80;989
429;967;113;968;86;74
479;193;59;504;572;315
752;647;83;15;962;260
8;784;980;670;662;906
410;908;981;207;797;240
132;547;63;289;264;439
761;411;55;573;775;891
837;681;116;639;169;748
771;421;275;942;82;897
684;976;310;371;433;202
695;976;666;596;730;263
220;93;247;226;378;835
532;243;558;574;680;927
834;864;158;191;942;541
183;27;280;795;542;591
673;405;95;259;121;44
757;904;917;32;725;763
72;604;575;606;726;695
589;206;878;938;175;8
75;669;89;317;263;494
725;333;382;451;85;207
102;167;327;769;892;336
443;660;600;894;85;514
524;746;640;168;136;658
145;597;110;852;300;914
323;392;874;61;788;874
521;147;367;744;357;277
571;187;599;798;70;971
933;891;271;349;417;866
389;820;20;794;680;584
344;321;406;36;23;840
102;434;540;332;242;441
991;998;140;580;358;231
785;702;275;448;699;872
712;549;455;760;833;952
910;317;914;203;984;175
362;761;173;929;380;485
226;425;866;163;877;669
508;468;165;238;789;401
732;788;269;364;824;938
231;1;247;868;237;378
262;353;702;313;365;412
283;325;699;288;898;302
85;539;473;762;978;832
739;682;572;410;141;7
444;575;808;733;226;786
29;889;490;405;239;9
352;675;379;854;16;415
518;827;871;872;486;829
512;582;985;747;909;566
547;187;916;696;856;723
545;780;915;221;648;212
623;455;872;333;68;155
507;411;735;842;84;389
100;59;207;405;317;366
589;29;55;931;825;799
760;975;328;783;830;718
241;926;467;46;221;870
970;161;542;475;359;867
774;160;905;445;124;358
981;923;337;746;746;676
450;200;104;420;416;405
481;205;119;463;355;320
989;732;379;848;767;863
770;85;906;322;854;77
756;127;55;859;752;844
884;830;871;510;317;407
649;915;36;247;766;370
