weight;ph;avg;watercapacity;bacteria;solubleprotein
498;895;695;998;597;207
277;790;806;435;184;461
645;281;152;531;208;713
37;494;982;718;981;846
885;348;791;563;649;948
145;448;943;895;920;369
313;779;217;527;623;346
897;642;437;740;514;4
451;779;350;331;32;636
208;495;525;710;381;180
572;136;21;220;777;940
721;294;584;848;418;455
607;748;987;497;364;808
216;117;749;58;350;722
903;894;546;32;199;392
330;941;485;531;665;307
344;767;943;891;92;207
431;234;927;613;389;215
408;342;656;887;85;570
965;674;450;673;620;910
708;833;25;612;862;866
252;897;652;741;914;762
808;287;536;26;331;938
532;911;359;2;175;226
962;963;634;577;863;755
874;305;775;27;226;876
611;408;911;434;331;91
482;178;161;345;234;822
192;249;399;659;21;767
168;512;887;859;155;899
122;207;629;65;871;544
974;188;63;483;932;178
439;700;178;725;320;570
912;513;910;589;403;436
856;13;303;341;73;984
824;63;632;266;164;154
887;909;366;271;211;885
75;888;87;396;945;278
329;632;459;159;768;255
525;970;855;806;234;117
941;542;789;286;751;587
315;192;719;544;104;728
438;317;638;667;448;894
582;862;395;297;368;913
656;887;799;438;231;686
312;481;203;996;12;7
636;293;444;961;795;219
147;953;162;564;447;994
500;893;516;462;373;20
871;284;119;737;261;514
825;6;528;493;968;534
441;665;527;230;465;795
348;65;640;350;532;699
671;819;801;391;834;977
380;679;351;442;227;336
127;411;316;2;741;760
791;423;208;159;107;692
549;25;308;816;339;294
122;121;454;768;950;413
389;159;12;469;142;761
456;428;358;83;760;692
296;108;286;147;471;539
271;16;488;56;595;25
539;50;947;576;28;619
743;125;591;384;432;438
429;198;18;285;465;847
690;142;232;337;403;366
857;5;685;750;502;591
919;415;22;83;866;736
396;67;139;293;726;625
745;526;467;525;645;682
125;245;546;298;405;106
215;354;875;776;502;105
114;625;58;216;973;230
97;941;44;949;970;533
836;13;873;355;45;640
167;390;453;640;527;210
230;812;862;85;262;844
314;574;799;717;10;867
48;301;548;872;930;134
167;877;252;863;432;754
608;156;710;579;40;551
209;884;508;687;973;882
696;378;799;177;992;918
713;343;76;829;850;307
587;19;113;826;814;282
846;577;141;938;273;48
527;963;895;959;10;508
325;577;713;885;107;693
453;318;204;894;793;302
203;255;740;853;778;346
223;340;141;584;245;240
130;438;289;321;726;866
609;640;751;311;458;332
918;82;589;850;540;705
